ordem_de_servico;tag_equipamento;tipo_de_equipamento;tipo_de_evento;tipo_de_manutencao;km_atual;hr_atual;data_entrada;hora_entrada;data_saida;hora_saida
1;CHV-13;CAMINHAO HIPERVACUO;Preventiva;PMP;101.234,90;17.022,60;01/09/2021;11:15:00;02/09/2021;09:00:00
2;CHH-94;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Hidráulico;9.911,60;431;01/09/2021;14:20:00;01/09/2021;14:35:00
3;RT-26;REBOQUE TANQUE;Corretiva;Diversos;0;0;01/09/2021;14:37:00;01/09/2021;15:00:00
4;CM-9;CAVALO MECANICO;Corretiva;Mecânico;425.163,50;10.712,00;01/09/2021;15:10:00;01/09/2021;15:25:00
5;CHH-11;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Mecânico;71.852,50;14.583,90;01/09/2021;15:55:00;01/09/2021;16:08:00
6;CHH-95;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Mecânico;11.522,40;549;02/09/2021;08:30:00;02/09/2021;08:40:00
7;CV-76;CAMINHAO VACUO;Corretiva;Diversos;35.666,00;4.162,00;02/09/2021;08:15:00;02/09/2021;10:00:00
8;CRR-99;CAMINHAO ROLL ON;Adequação;Diversos;4.815,60;218,6;02/09/2021;08:57:00;02/09/2021;10:00:00
9;VL-46;VEICULO LEVE;Preventiva;PMP;49.004,00;0;02/09/2021;10:00:00;02/09/2021;10:48:00
10;VL-45;VEICULO LEVE;Preventiva;PMP;140.423,00;0;02/09/2021;11:25:00;02/09/2021;12:30:00
11;CP-78;CAMINHAO PIPA;Corretiva;Diversos;36.624,40;5.372,00;02/09/2021;11:35:00;02/09/2021;12:36:00
12;CH-15;CAMINHAO HIDROJATO;Corretiva;Mecânico;56.774,00;8.127,00;02/09/2021;14:20:00;02/09/2021;14:32:00
13;CHH-10;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;65.543,00;1.802,77;02/09/2021;14:28:00;02/09/2021;15:05:00
14;CV-33;CAMINHAO VACUO;Corretiva;Diversos;123.240,50;6.907,40;02/09/2021;14:35:00;02/09/2021;15:27:00
15;CB-97;CAMINHAO BASCULANTE;Corretiva;Diversos;115.530,80;4.629,00;02/09/2021;15:40:00;02/09/2021;16:15:00
16;CM-51;CAVALO MECANICO;Adequação;Mecânico;122.220,00;2.770,00;03/09/2021;08:30:00;03/09/2021;09:14:00
17;CPG-19;CAMINHAO POLIGUINDASTE;Corretiva;Hidráulico;188.046,30;6.194,00;03/09/2021;08:30:00;03/09/2021;09:15:00
18;CPG-19;CAMINHAO POLIGUINDASTE;Preventiva;PMP;188.046,30;6.194,00;03/09/2021;09:15:00;03/09/2021;10:36:00
19;RB-21;REBOQUE TANQUE;Corretiva;Elétrico;0;0;03/09/2021;08:51:00;03/09/2021;09:06:00
20;CM-3;CAVALO MECANICO;Corretiva;Elétrico;566.686,00;0;03/09/2021;08:51:00;03/09/2021;09:09:00
21;RT-47;REBOQUE TANQUE;Corretiva;Mecânico;0;0;03/09/2021;09:14:00;03/09/2021;10:14:00
22;RT-26;REBOQUE TANQUE;Corretiva;Borracharia;0;0;03/09/2021;10:40:00;03/09/2021;10:50:00
23;CM-36;CAVALO MECANICO;Corretiva;Diversos;135.296,70;3.594,00;03/09/2021;10:05:00;04/09/2021;11:30:00
24;CM-8;CAVALO MECANICO;Corretiva;Diversos;368.507,40;9.658,00;03/09/2021;10:40:00;03/09/2021;14:50:00
25;CHH-11;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Carroceria;71.926,40;14.624,50;03/09/2021;12:38:00;03/09/2021;14:09:00
26;CM-9;CAVALO MECANICO;Adequação;Carroceria;425.163,60;10.712,00;03/09/2021;13:20:00;03/09/2021;13:46:00
27;RT-67;REBOQUE TANQUE;Corretiva;Mecânico;0;0;03/09/2021;13:46:00;03/09/2021;14:12:00
28;CHV-14;CAMINHAO HIPERVACUO;Corretiva;Mecânico;119.809,70;7.663,00;03/09/2021;16:16:00;03/09/2021;16:40:00
29;CP-77;CAMINHAO PIPA;Corretiva;Diversos;34.629,60;5.042,00;03/09/2021;17:04:00;03/09/2021;17:16:00
30;CH-15;CAMINHAO HIDROJATO;Corretiva;Mecânico;56.814,90;8.138,00;04/09/2021;07:55:00;04/09/2021;10:35:00
31;CHV-12;CAMINHAO HIPERVACUO;Corretiva;Elétrico;166.216,00;8.661,10;04/09/2021;08:35:00;04/09/2021;08:45:00
32;CHH-49;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;48.446,60;4.815,20;04/09/2021;08:46:00;04/09/2021;10:05:00
33;CHH-11;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Carroceria;71.965,80;14.628,30;04/09/2021;08:55:00;04/09/2021;10:15:00
34;CHH-95;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Mecânico;12.064,10;570;04/09/2021;10:05:00;04/09/2021;11:30:00
35;CV-35;CAMINHAO VACUO;Preventiva;Elétrico;95.215,00;8.547,50;04/09/2021;10:30:00;04/09/2021;12:20:00
36;CB-13;CAMINHAO BASCULANTE;Adequação;Elétrico;100.418,00;855;04/09/2021;11:25:00;04/09/2021;14:14:00
37;CB-12;CAMINHAO BASCULANTE;Adequação;Elétrico;95.089,00;5.888,00;04/09/2021;11:30:00;04/09/2021;12:56:00
38;CB-11;CAMINHAO BASCULANTE;Adequação;Elétrico;91.830,00;24;04/09/2021;13:25:00;04/09/2021;14:00:00
39;#VALOR!;CAMINHAO VACUO;Corretiva;Elétrico;155.807,90;7.869,00;06/09/2021;08:00:00;06/09/2021;08:55:00
40;#VALOR!;CAMINHAO VACUO;Corretiva;Borracharia;250.724,70;10.813,00;06/09/2021;08:00:00;06/09/2021;10:10:00
41;CB-14;CAMINHAO BASCULANTE;Adequação;Diversos;106.968,40;5.891,00;06/09/2021;08:00:00;06/09/2021;16:00:00
42;CHV-13;CAMINHAO HIPERVACUO;Corretiva;Elétrico;101.496,00;17.084,10;06/09/2021;11:05:00;06/09/2021;12:05:00
43;RT-29;REBOQUE TANQUE;Corretiva;Borracharia;0;0;06/09/2021;11:31:00;06/09/2021;11:33:00
44;CM-5;CAVALO MECANICO;Corretiva;Carroceria;365.207,00;9.046,00;06/09/2021;13:00:00;06/09/2021;13:47:00
45;CV-35;CAMINHAO VACUO;Corretiva;Mecânico;95.223,60;8.584,40;06/09/2021;15:15:00;06/09/2021;16:02:00
46;CB-11;CAMINHAO BASCULANTE;Corretiva;Hidráulico;91.912,10;35;06/09/2021;15:30:00;07/09/2021;11:30:00
47;CM-7;CAVALO MECANICO;Adequação;Carroceria;136.443,60;4.432,00;06/09/2021;16:10:00;06/09/2021;16:55:00
48;CPG-19;CAMINHAO POLIGUINDASTE;Corretiva;Carroceria;188.235,80;6.210,00;06/09/2021;16:51:00;06/09/2021;17:18:00
49;CHH-66;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;24.419,00;6.426,80;07/09/2021;08:30:00;07/09/2021;12:00:00
50;CB-11;CAMINHAO BASCULANTE;Adequação;Mecânico;91.912,10;35;07/09/2021;11:30:00;07/09/2021;12:50:00
51;CB-12;CAMINHAO BASCULANTE;Adequação;Mecânico;95.453,20;5.934,00;07/09/2021;12:14:00;07/09/2021;12:24:00
52;CB-13;CAMINHAO BASCULANTE;Adequação;Mecânico;100.651,00;882;07/09/2021;12:20:00;07/09/2021;12:33:00
